"ridership","Austin","Quincy_Wells","Belmont","Archer_35th","Oak_Park","Western","Clark_Lake","Clinton","Merchandise_Mart","Irving_Park","Washington_Wells","Harlem","Monroe","Polk","Ashland","Kedzie","Addison","Jefferson_Park","Montrose","California","temp_min","temp","temp_max","temp_change","dew","humidity","pressure","pressure_change","wind","wind_max","gust","gust_max","percip","percip_max","weather_rain","weather_snow","weather_cloud","weather_storm","Blackhawks_Away","Blackhawks_Home","Bulls_Away","Bulls_Home","Bears_Away","Bears_Home","WhiteSox_Away","WhiteSox_Home","Cubs_Away","Cubs_Home","date"
20.588,2.484,8.415,5.743,3.419,2.151,5.322,20.547,3.839,8.155,4.836,8.113,3.568,8.001,3.856,1.816,3.098,3.38,7.57,2.898,1.334,51.8,57.1,73,21.2,48.9,72,30.01,0.170000000000002,9.2,18.4,0,26.5,0,0,0.0689655172413793,0,0.931034482758621,0.344827586206897,0,0,0,0,0,0,0,0,0,0,2014-10-01
20.561,2.45,8.489,5.865,3.472,2.146,5.394,20.832,3.956,7.89,4.871,7.975,3.588,8.147,3.855,1.868,3.034,3.496,7.586,2.877,1.302,66,69.1,75,9,61.1,75,29.85,0.210000000000001,8.1,12.7,0,0,0,0,0.115384615384615,0,0.884615384615385,0.884615384615385,0,0,0,0,0,0,0,0,0,0,2014-10-02
20.26,2.443,7.818,6.042,3.349,2.066,5.105,20.354,3.913,7.247,5.012,7.118,3.503,7.971,3.514,1.791,3.054,3.52,7.619,2.738,1.296,48,65.45,70,22,63.7,91.5,29.615,0.379999999999999,12.1,25.3,0,39.1,0.02,0.62,0.642857142857143,0,0.357142857142857,0.357142857142857,0,0,0,0,0,0,0,0,0,0,2014-10-03
8.405,1.137,1.898,3.237,1.718,0.842,2.659,6.625,1.521,2.06,2.65,1.293,1.462,2.384,1.025,0.965,1.557,1.826,4.007,1.386,0.771,37.9,45,48.9,11,34.55,66,29.74,0.0899999999999999,15.55,20.7,22.45,31.1,0,0.03,0.285714285714286,0.0357142857142857,0.678571428571429,0.357142857142857,0,0,0,0,0,0,0,0,0,0,2014-10-04
5.446,0.772,1.808,2.501,1.185,0.602,1.751,5.659,1.398,1.283,1.992,1.058,1.09,1.944,0.757,0.711,1.148,1.292,2.899,1.098,0.645,42.1,46.9,55.9,13.8,35.1,65,29.74,0.140000000000001,10.4,20.7,0,27.6,0,0,0,0,0.91304347826087,0.173913043478261,0,0,0,0,1,0,0,0,0,0,2014-10-05
20.166,2.398,8.65,5.553,3.4,2.045,5.254,20.36,3.974,7.784,4.844,8.087,3.421,7.727,3.835,1.757,3.017,3.268,7.472,2.722,1.337,48,54,62.6,14.6,42.1,59,29.59,0.109999999999999,9.2,20.7,0,25.3,0,0,0.0434782608695652,0,0.91304347826087,0.217391304347826,0,0,0,0,0,0,0,0,0,0,2014-10-06
20.762,2.397,8.493,5.778,3.468,2.109,5.352,20.509,3.912,7.853,4.715,8.002,3.521,7.941,3.937,1.875,3.1,3.399,7.536,2.843,1.32,50,54.95,68,18,43.55,61,29.665,0.130000000000003,9.8,21.9,0,27.6,0,0,0,0,0.833333333333333,0,0,0,0,0,0,0,0,0,0,0,2014-10-07
20.848,2.462,8.368,5.816,3.48,2.078,5.379,20.736,3.859,7.942,4.798,8.097,3.544,7.779,3.868,1.804,3.112,3.357,7.462,2.93,1.386,48,58,66.9,18.9,39.45,56,29.985,0.25,9.2,19.6,0,29.9,0,0,0,0,0.833333333333333,0,0,0,0,0,0,0,0,0,0,0,2014-10-08
21.215,2.476,7.911,5.914,3.347,2.062,5.324,20.452,3.554,7.53,4.833,7.68,3.564,7.861,3.863,1.864,3.091,3.371,7.534,2.974,1.372,51.1,56.9,61,9.9,37,46,30.09,0.140000000000001,6.9,10.4,0,0,0,0,0,0,1,0.416666666666667,1,0,0,0,0,0,0,0,0,0,2014-10-09
20.22,2.395,7.587,5.803,3.375,2.042,5.087,19.546,3.805,6.953,4.829,7.125,3.476,7.307,3.571,1.758,2.96,3.188,7.376,2.693,1.383,44.1,53.1,59,14.9,41,65,30.15,0.0700000000000003,4.6,11.5,0,0,0,0,0,0,1,0.333333333333333,0,0,0,0,0,0,0,0,0,0,2014-10-10
